business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open,outdoorseating,restaurantsdelivery,restaurantstakeout,restaurantsreservations,businessacceptscreditcards,goodforkids,hastv,caters,wifi,alcohol,restaurantspricerange2,fast_food,casual_dining,fine_dining,bars_nightlife,coffee_dessert,ethnic_food,pizza_italian,healthy_options,seafood,buffet,num_category_groups,days_open,open_weekend
SAFPlkE2sT5IdJePfLQb5Q,Porter's Steakhouse,Collinsville,IL,62234,38.679199,-90.016389,3.5,95,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,free,ufull_bar,3.0,0,0,1,1,1,0,0,0,0,0,3,7,1
LLpsnCJFEyj55aA8ANLmog,Cork n' Slice,Saint Louis,MO,63108,38.6440899,-90.2576059,4.5,51,0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,no,ufull_bar,2.0,0,0,0,0,0,0,1,0,0,0,1,7,1
mKJ_WV7TvrjyDjmb_hUVsA,El Limon - Bensalem,Bensalem,PA,19020,40.1118476,-74.9366212,4.5,26,1,,1.0,1.0,,1.0,,1.0,1.0,ufree,unone,,0,0,0,0,0,1,0,0,0,0,1,7,1
WpEtHE1gJT0olvMwv6attw,Little Sicily,Pottstown,PA,19464,40.2592847,-75.6134662,3.5,7,0,,1.0,1.0,,1.0,1.0,,,,,1.0,0,0,0,0,0,0,1,0,0,0,1,6,1
C7jw0oQLb1t3VkPqpteRbQ,Panera Bread,Nashville,TN,37203,36.16174,-86.778955,2.5,85,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,unone,1.0,0,0,0,0,1,0,0,1,0,0,2,6,1
xkDYfjmcH7_b45AXWzrAOQ,The Yummy Crab,Indianapolis,IN,46229,39.775971,-85.991325,3.5,25,1,,1.0,1.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,7,1
hyq0W0_Sc5PNyXBdxVki5g,St. Louis Bread,St. Louis,MO,63104,38.6060916638,-90.2026333595,2.5,48,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,unone,2.0,0,0,0,0,1,0,0,1,0,0,2,7,1
UhA77Rfgcm46B7pUDCVh4g,The Hatchery,Tampa,FL,33609,27.9458803,-82.5050952,4.0,93,0,,,,0.0,1.0,1.0,1.0,,,,,0,0,0,0,0,0,0,0,0,0,0,7,1
b5hxsRw76UUXcotxlCipuQ,Los Arroyos Mexican Restaurant & Take Out,Montecito,CA,93108,34.421762,-119.6413283,3.5,353,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,uno,ufull_bar,2.0,0,0,0,1,1,1,0,1,0,0,4,7,1
SJJaIBGBBB3T_OX7iy-D4g,Authentik Byrek,Philadelphia,PA,19104,39.95588,-75.19283,5.0,23,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,uno,unone,1.0,0,0,0,0,0,0,0,0,0,0,0,2,0
